Date,site_no,Mean Flow,Peak Flow,Median,Coeff Var,Skew,TQmean,R-B Index,7Q,3xMedian,Station
1975-10-01,3331500,868.3005464480874,4990.0,511.0,107.8776639846926,2.406318319641242,0.27595628415300544,0.0826845983926897,194.14285714285714,50.0,Tippe
1976-10-01,3331500,561.0931506849315,2800.0,308.0,88.89659470204326,1.9045765420786123,0.29863013698630136,0.08505412624085079,200.0,68.0,Tippe
1977-10-01,3331500,945.054794520548,6640.0,490.0,117.93959862426604,2.558523795236787,0.2684931506849315,0.07865891663888445,170.28571428571428,64.0,Tippe
1978-10-01,3331500,716.7123287671233,7390.0,330.0,128.95140416679652,3.597541773615923,0.2493150684931507,0.10981269113149847,166.0,85.0,Tippe
1979-10-01,3331500,898.6693989071039,5270.0,633.0,93.96459677402959,2.06388996372251,0.28415300546448086,0.10797992174222362,193.71428571428572,48.0,Tippe
1980-10-01,3331500,1253.158904109589,8450.0,580.0,111.32700283599746,2.42509019049104,0.29863013698630136,0.11416190973823959,331.7142857142857,79.0,Tippe
1981-10-01,3331500,1142.5068493150684,8370.0,658.0,117.13024746307354,3.0135576301426155,0.2684931506849315,0.08267808112418018,234.71428571428572,60.0,Tippe
1982-10-01,3331500,944.7150684931507,4770.0,700.0,88.4360014317761,1.74529114658353,0.3452054794520548,0.09842207986172535,167.85714285714286,39.0,Tippe
1983-10-01,3331500,868.3360655737705,3840.0,541.0,89.10011577709201,1.6407317906814332,0.3360655737704918,0.08574278423339658,185.0,52.0,Tippe
1984-10-01,3331500,1152.986301369863,8420.0,687.0,115.58407935378287,2.5411355616404485,0.2821917808219178,0.0985410132116719,212.14285714285714,58.0,Tippe
1985-10-01,3331500,972.7972602739726,3140.0,853.0,57.11341945816785,0.9383354586432577,0.410958904109589,0.09551329170785561,219.0,4.0,Tippe
1986-10-01,3331500,802.6383561643836,4180.0,760.0,62.30434853999897,3.0515479553532283,0.4191780821917808,0.07532691841631878,262.14285714285717,6.0,Tippe
1987-10-01,3331500,641.5027322404371,2620.0,411.0,86.05704875962371,1.3607620525071176,0.3770491803278688,0.09126453426466204,146.71428571428572,57.0,Tippe
1988-10-01,3331500,620.4876712328767,2000.0,559.0,55.29769855730747,1.2465837204997183,0.3835616438356164,0.07831224224869524,171.14285714285714,4.0,Tippe
1989-10-01,3331500,1216.9534246575342,6970.0,927.0,94.03677324021437,2.5176323669076326,0.3287671232876712,0.10685340441434708,229.28571428571428,30.0,Tippe
1990-10-01,3331500,1344.3013698630136,6720.0,1290.0,77.33425661019407,1.843673768957843,0.4410958904109589,0.09516171765137466,190.0,11.0,Tippe
1991-10-01,3331500,721.068306010929,1930.0,664.5,48.65167803519186,0.687320737819774,0.40710382513661203,0.07111867258280254,249.42857142857142,0.0,Tippe
1992-10-01,3331500,1351.2739726027398,6570.0,1150.0,69.30549765102464,2.1014826592960465,0.4136986301369863,0.0942063805845321,345.57142857142856,12.0,Tippe
1993-10-01,3331500,1035.5863013698631,5410.0,901.0,75.01028938895188,2.251381623679938,0.4,0.09396040625520849,218.28571428571428,13.0,Tippe
1994-10-01,3331500,896.8383561643835,3200.0,674.0,78.64821874291616,1.4615404173846236,0.336986301369863,0.09323162647473926,183.0,34.0,Tippe
1995-10-01,3331500,865.6174863387978,5910.0,507.5,98.00822708386062,2.7469393456490363,0.30601092896174864,0.09265314883086713,206.57142857142858,65.0,Tippe
1996-10-01,3331500,1439.4301369863015,5240.0,1270.0,59.251906518785034,1.6051176832528162,0.4328767123287671,0.08345197490635564,319.0,10.0,Tippe
1997-10-01,3331500,1425.7917808219179,6100.0,1120.0,69.29515401833413,1.5326645285599212,0.3835616438356164,0.09344099121084368,307.0,15.0,Tippe
1998-10-01,3331500,918.9506849315069,5200.0,483.0,95.07398562255183,1.723996385175497,0.37534246575342467,0.08495097147729543,151.0,82.0,Tippe
1999-10-01,3331500,531.7459016393443,1600.0,381.5,64.10543695593924,1.4097692815918754,0.3251366120218579,0.07944753595486566,203.57142857142858,36.0,Tippe
2000-10-01,3331500,838.8767123287671,3260.0,662.0,69.75340139674475,2.0746037167181717,0.28493150684931506,0.08439857604755217,280.0,22.0,Tippe
2001-10-01,3331500,1179.3205479452056,4120.0,1060.0,72.6545331589286,0.8153641961919825,0.4383561643835616,0.07909592707200803,160.0,7.0,Tippe
2002-10-01,3331500,509.9095890410959,2830.0,340.0,86.54193558081356,2.7820553742378733,0.3178082191780822,0.09484893910819538,162.0,30.0,Tippe
2003-10-01,3331500,838.827868852459,3070.0,618.5,64.50563481188864,1.6485196225129972,0.3907103825136612,0.09578158437319835,308.14285714285717,23.0,Tippe
2004-10-01,3331500,947.8027397260274,7150.0,546.0,105.7482409464366,2.456379385744774,0.33972602739726027,0.09441303317261554,155.71428571428572,69.0,Tippe
2005-10-01,3331500,580.3397260273972,2350.0,472.0,67.46285288112736,2.0393420626630547,0.3506849315068493,0.08551438930432813,190.71428571428572,19.0,Tippe
2006-10-01,3331500,1050.7835616438356,3770.0,889.0,66.847127531256,0.8381867210480235,0.4438356164383562,0.08535574235534604,237.42857142857142,8.0,Tippe
2007-10-01,3331500,1430.549180327869,9030.0,1055.0,100.93959454753328,2.733062136240858,0.40710382513661203,0.1134151162857323,216.57142857142858,25.0,Tippe
2008-10-01,3331500,1179.2931506849316,9410.0,695.0,106.90266095796959,2.9965963630219545,0.36712328767123287,0.10150264147086019,250.57142857142858,57.0,Tippe
2009-10-01,3331500,840.6876712328767,2870.0,781.0,50.506223346127,1.286527978984394,0.4547945205479452,0.07146139331467063,287.0,4.0,Tippe
2010-10-01,3331500,937.745205479452,5370.0,425.0,100.35930779651525,1.723433644021379,0.3424657534246575,0.08634527005904574,208.85714285714286,104.0,Tippe
2011-10-01,3331500,877.8415300546449,5070.0,522.5,100.80917533636426,1.571841630015374,0.37158469945355194,0.07338230259267328,114.71428571428571,61.0,Tippe
2012-10-01,3331500,911.0958904109589,6220.0,512.0,112.31925467813697,2.2687181077224934,0.29041095890410956,0.1184934596301308,167.57142857142858,62.0,Tippe
2013-10-01,3331500,891.3178082191781,4670.0,584.0,87.41338441814428,1.8844649468996717,0.30684931506849317,0.09645868361760791,235.42857142857142,54.0,Tippe
2014-10-01,3331500,1037.495890410959,5720.0,788.0,73.94891640337555,2.4072612220001317,0.2876712328767123,0.09399872189624121,379.0,29.0,Tippe
2015-10-01,3331500,760.8934426229508,2670.0,572.0,62.080192258932485,1.2422637443050695,0.38524590163934425,0.07971646791412167,238.42857142857142,17.0,Tippe
2016-10-01,3331500,1116.3205479452056,2880.0,959.0,57.2166798726631,0.922303840352292,0.3972602739726027,0.0835818258122943,342.0,1.0,Tippe
2017-10-01,3331500,1055.7506849315068,7940.0,755.0,93.8681917731246,3.7849753280844753,0.3506849315068493,0.08856387326812837,280.14285714285717,21.0,Tippe
2018-10-01,3331500,1167.331506849315,3920.0,1160.0,52.87081560346002,1.0022144975492613,0.4986301369863014,0.07401496446643321,330.2857142857143,3.0,Tippe
